General : End date,"11/2/2022 11:40 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"6.00000",mm/min
General : Start date,"11/2/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.78498","0.04230"
"0.02600","0.78541","0.04038"
"0.05200","0.78696","0.04247"
"0.07800","0.78980","0.04841"
"0.10400","0.79318","0.04945"
"0.13000","0.79666","0.04841"
"0.15600","0.79993","0.05068"
"0.18200","0.80282","0.05487"
"0.20800","0.80566","0.04857"
"0.23400","0.80845","0.04854"
"0.26000","0.81112","0.05253"
"0.28600","0.81380","0.04596"
"0.31200","0.81638","0.06229"
"0.33800","0.81900","0.05784"
"0.36400","0.82162","0.05172"
"0.39000","0.82414","0.04859"
"0.41600","0.82671","0.05357"
"0.44200","0.82945","0.06252"
"0.46800","0.83202","0.07494"
"0.49400","0.83454","0.07746"
"0.52000","0.83716","0.06137"
"0.54600","0.83984","0.06053"
"0.57200","0.84236","0.07329"
"0.59800","0.84487","0.07573"
"0.62400","0.84750","0.06658"
"0.65000","0.85023","0.05986"
"0.67600","0.85270","0.07183"
"0.70200","0.85532","0.07011"
"0.72800","0.85795","0.08482"
"0.75400","0.86057","0.07901"
"0.78000","0.86314","0.07421"
"0.80600","0.86582","0.06783"
"0.83200","0.86839","0.06715"
"0.85800","0.87107","0.07560"
"0.88400","0.87364","0.07507"
"0.91000","0.87627","0.07125"
"0.93600","0.87879","0.07293"
"0.96200","0.88146","0.08148"
"0.98800","0.88409","0.07394"
"1.01400","0.88661","0.06628"
"1.04000","0.88918","0.08193"
"1.06600","0.89186","0.08085"
"1.09200","0.89443","0.07759"
"1.11800","0.89695","0.08530"
"1.14400","0.89952","0.08349"
"1.17000","0.90220","0.07403"
"1.19600","0.90477","0.08239"
"1.22200","0.90734","0.08302"
"1.24800","0.90996","0.09584"
"1.27400","0.91259","0.08459"
"1.30000","0.91516","0.07705"
"1.32600","0.91784","0.08361"
"1.35200","0.92052","0.09136"
"1.37800","0.92309","0.09150"
"1.40400","0.92566","0.08917"
"1.43000","0.92829","0.09671"
"1.45600","0.93091","0.08186"
"1.48200","0.93343","0.07305"
"1.50800","0.93605","0.08391"
"1.53400","0.93868","0.09078"
"1.56000","0.94125","0.09233"
"1.58600","0.94382","0.09476"
"1.61200","0.94645","0.09133"
"1.63800","0.94896","0.08883"
"1.66400","0.95154","0.09315"
"1.69000","0.95411","0.09631"
"1.71600","0.95673","0.10098"
"1.74200","0.95930","0.10270"
"1.76800","0.96198","0.09776"
"1.79400","0.96455","0.09333"
"1.82000","0.96718","0.09521"
"1.84600","0.96975","0.09543"
"1.87200","0.97248","0.10571"
"1.89800","0.97505","0.10722"
"1.92400","0.97763","0.08913"
"1.95000","0.98025","0.09943"
"1.97600","0.98293","0.10883"
"2.00200","0.98545","0.11264"
"2.02800","0.98802","0.11348"
"2.05400","0.99064","0.11093"
"2.08000","0.99332","0.10495"
"2.10600","0.99579","0.10426"
"2.13200","0.99836","0.10482"
"2.15800","1.00098","0.09929"
"2.18400","1.00361","0.10731"
"2.21000","1.00607","0.10309"
"2.23600","1.00870","0.10792"
"2.26200","1.01132","0.10243"
"2.28800","1.01395","0.11686"
"2.31400","1.01652","0.10586"
"2.34000","1.01914","0.11340"
"2.36600","1.02177","0.11183"
"2.39200","1.02445","0.11781"
"2.41800","1.02702","0.10863"
"2.44400","1.02964","0.11427"
"2.47000","1.03227","0.12605"
"2.49600","1.03489","0.13257"
"2.52200","1.03746","0.12269"
"2.54800","1.03998","0.12059"
"2.57400","1.04261","0.10909"
"2.60000","1.04529","0.11935"
"2.62600","1.04775","0.12848"
"2.65200","1.05037","0.12927"
"2.67800","1.05300","0.12233"
"2.70400","1.05557","0.12911"
"2.73000","1.05809","0.11771"
"2.75600","1.06066","0.13285"
"2.78200","1.06334","0.13997"
"2.80800","1.06596","0.14122"
"2.83400","1.06848","0.13505"
"2.86000","1.07116","0.11957"
"2.88600","1.07379","0.11457"
"2.91200","1.07636","0.13456"
"2.93800","1.07904","0.14199"
"2.96400","1.08161","0.14445"
"2.99000","1.08429","0.14108"
"3.01600","1.08680","0.13904"
"3.04200","1.08948","0.13595"
"3.06800","1.09200","0.14180"
"3.09400","1.09462","0.13778"
"3.12000","1.09725","0.12795"
"3.14600","1.09987","0.13869"
"3.17200","1.10239","0.14777"
"3.19800","1.10507","0.13229"
"3.22400","1.10764","0.12189"
"3.25000","1.11016","0.10587"
"3.27600","1.11273","0.09633"
"3.30200","1.11541","0.09870"
"3.32800","1.11798","0.09116"
"3.35400","1.12055","0.10171"
"3.38000","1.12318","0.09967"
"3.40600","1.12591","0.09667"
"3.43200","1.12838","0.09461"
"3.45800","1.13100","0.09300"
"3.48400","1.13368","0.09799"
"3.51000","1.13630","0.11114"
"3.53600","1.13882","0.10642"
"3.56200","1.14150","0.10229"
"3.58800","1.14407","0.10348"
"3.61400","1.14664","0.09937"
"3.64000","1.14921","0.10457"
"3.66600","1.15189","0.11408"
"3.69200","1.15446","0.11181"
"3.71800","1.15704","0.10680"
"3.74400","1.15961","0.10473"
"3.77000","1.16229","0.10000"
"3.79600","1.16480","0.09944"
"3.82200","1.16737","0.10512"
"3.84800","1.17000","0.11585"
"3.87400","1.17257","0.10470"
"3.90000","1.17514","0.09609"
