General : End date,"11/2/2022 11:30 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"60.00000",mm/min
General : Start date,"11/2/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.48600","0.02919"
"0.02600","0.49420","0.03515"
"0.05200","0.51975","0.05003"
"0.07800","0.55146","0.05256"
"0.10400","0.58286","0.06473"
"0.13000","0.61254","0.07277"
"0.15600","0.64077","0.08553"
"0.18200","0.66804","0.10217"
"0.20800","0.69482","0.11468"
"0.23400","0.72134","0.13055"
"0.26000","0.74770","0.14825"
"0.28600","0.77384","0.16016"
"0.31200","0.79998","0.15977"
"0.33800","0.82596","0.16465"
"0.36400","0.85195","0.19019"
"0.39000","0.87788","0.19402"
"0.41600","0.90396","0.20553"
"0.44200","0.93000","0.22180"
"0.46800","0.95609","0.21226"
"0.49400","0.98207","0.23038"
"0.52000","1.00811","0.24170"
"0.54600","1.03398","0.25087"
"0.57200","1.06002","0.26784"
"0.59800","1.08595","0.27903"
"0.62400","1.11198","0.30083"
"0.65000","1.13802","0.30895"
"0.67600","1.16411","0.31198"
"0.70200","1.19009","0.31363"
"0.72800","1.21613","0.32447"
"0.75400","1.24200","0.33920"
"0.78000","1.26804","0.34710"
"0.80600","1.29391","0.36278"
"0.83200","1.31995","0.37295"
"0.85800","1.34598","0.38333"
"0.88400","1.37202","0.38748"
"0.91000","1.39805","0.39650"
"0.93600","1.42404","0.39887"
"0.96200","1.45002","0.41020"
"0.98800","1.47600","0.42828"
"1.01400","1.50193","0.44452"
"1.04000","1.52796","0.45358"
"1.06600","1.55400","0.46297"
"1.09200","1.58004","0.47406"
"1.11800","1.60607","0.48228"
"1.14400","1.63205","0.48885"
"1.17000","1.65804","0.49711"
"1.19600","1.68396","0.51454"
"1.22200","1.71000","0.51810"
"1.24800","1.73593","0.51862"
"1.27400","1.76196","0.53223"
"1.30000","1.78800","0.55032"
"1.32600","1.81409","0.55990"
"1.35200","1.84007","0.55732"
"1.37800","1.86611","0.56621"
"1.40400","1.89198","0.57906"
"1.43000","1.91796","0.59552"
"1.45600","1.94389","0.59330"
"1.48200","1.96993","0.60382"
"1.50800","1.99596","0.62613"
"1.53400","2.02205","0.64207"
"1.56000","2.04804","0.65147"
"1.58600","2.07413","0.65879"
"1.61200","2.10000","0.67101"
"1.63800","2.12604","0.66866"
"1.66400","2.15191","0.66866"
"1.69000","2.17789","0.68489"
"1.71600","2.20393","0.68974"
"1.74200","2.23002","0.69408"
"1.76800","2.25605","0.71026"
"1.79400","2.28204","0.72400"
"1.82000","2.30802","0.73570"
"1.84600","2.33400","0.73913"
"1.87200","2.35998","0.74453"
"1.89800","2.38596","0.75938"
"1.92400","2.41200","0.76727"
"1.95000","2.43804","0.78188"
"1.97600","2.46407","0.78476"
"2.00200","2.49005","0.79452"
"2.02800","2.51604","0.79183"
"2.05400","2.54202","0.79879"
"2.08000","2.56795","0.79706"
"2.10600","2.59393","0.79340"
"2.13200","2.61996","0.78412"
"2.15800","2.64600","0.78010"
"2.18400","2.67209","0.76815"
"2.21000","2.69807","0.76944"
"2.23600","2.72411","0.76928"
"2.26200","2.74998","0.75069"
"2.28800","2.77602","0.73769"
"2.31400","2.80189","0.72832"
"2.34000","2.82793","0.70599"
"2.36600","2.85396","0.70458"
"2.39200","2.88005","0.70864"
"2.41800","2.90609","0.68983"
"2.44400","2.93213","0.68183"
"2.47000","2.95800","0.66568"
"2.49600","2.98398","0.65517"
"2.52200","3.00991","0.66210"
"2.54800","3.03589","0.64974"
"2.57400","3.06193","0.63914"
"2.60000","3.08807","0.64408"
"2.62600","3.11411","0.65074"
"2.65200","3.14009","0.64515"
"2.67800","3.16602","0.64884"
"2.70400","3.19200","0.64995"
"2.73000","3.21793","0.64341"
"2.75600","3.24391","0.66207"
"2.78200","3.26995","0.67262"
"2.80800","3.29604","0.67845"
"2.83400","3.32207","0.68877"
"2.86000","3.34805","0.70218"
"2.88600","3.37404","0.70808"
"2.91200","3.39996","0.70406"
"2.93800","3.42595","0.71751"
"2.96400","3.45193","0.72433"
"2.99000","3.47791","0.73024"
"3.01600","3.50400","0.74461"
"3.04200","3.53004","0.74447"
"3.06800","3.55607","0.74330"
"3.09400","3.58205","0.75217"
"3.12000","3.60798","0.75526"
"3.14600","3.63396","0.77566"
"3.17200","3.65989","0.79228"
"3.19800","3.68593","0.80131"
"3.22400","3.71196","0.79788"
"3.25000","3.73805","0.81394"
"3.27600","3.76404","0.83447"
"3.30200","3.79007","0.84644"
"3.32800","3.81600","0.85832"
"3.35400","3.84198","0.87033"
"3.38000","3.86791","0.87061"
"3.40600","3.89395","0.88064"
"3.43200","3.91998","0.89825"
"3.45800","3.94607","0.91563"
"3.48400","3.97211","0.92479"
"3.51000","3.99814","0.91860"
"3.53600","4.02407","0.92932"
"3.56200","4.05000","0.94221"
"3.58800","4.07593","0.95612"
"3.61400","4.10196","0.96681"
"3.64000","4.12795","0.97464"
"3.66600","4.15404","0.98016"
"3.69200","4.18007","0.99427"
"3.71800","4.20605","1.01825"
"3.74400","4.23204","1.01701"
"3.77000","4.25802","1.01909"
"3.79600","4.28395","1.02935"
"3.82200","4.30993","1.04302"
"3.84800","4.33596","1.05910"
"3.87400","4.36200","1.07925"
"3.90000","4.38809","1.09581"
