General : End date,"10/18/2022 1:31 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"6.00000",mm/min
General : Start date,"10/18/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.28318","0.04378"
"0.02600","0.28355","0.05039"
"0.05200","0.28511","0.04016"
"0.07800","0.28800","0.03727"
"0.10400","0.29154","0.04131"
"0.13000","0.29486","0.04633"
"0.15600","0.29796","0.04132"
"0.18200","0.30102","0.03775"
"0.20800","0.30380","0.05061"
"0.23400","0.30648","0.04935"
"0.26000","0.30921","0.04399"
"0.28600","0.31189","0.05403"
"0.31200","0.31452","0.04590"
"0.33800","0.31714","0.04805"
"0.36400","0.31977","0.04925"
"0.39000","0.32239","0.05031"
"0.41600","0.32496","0.05016"
"0.44200","0.32759","0.05073"
"0.46800","0.33016","0.04634"
"0.49400","0.33279","0.05320"
"0.52000","0.33541","0.05229"
"0.54600","0.33798","0.06639"
"0.57200","0.34055","0.06153"
"0.59800","0.34318","0.04936"
"0.62400","0.34575","0.04467"
"0.65000","0.34832","0.06010"
"0.67600","0.35095","0.05902"
"0.70200","0.35357","0.05287"
"0.72800","0.35609","0.05605"
"0.75400","0.35866","0.06570"
"0.78000","0.36134","0.06213"
"0.80600","0.36396","0.06008"
"0.83200","0.36654","0.05317"
"0.85800","0.36916","0.05248"
"0.88400","0.37184","0.06613"
"0.91000","0.37441","0.05895"
"0.93600","0.37698","0.05062"
"0.96200","0.37961","0.06923"
"0.98800","0.38223","0.07063"
"1.01400","0.38475","0.07130"
"1.04000","0.38737","0.07208"
"1.06600","0.38995","0.06788"
"1.09200","0.39262","0.05883"
"1.11800","0.39514","0.06352"
"1.14400","0.39777","0.05791"
"1.17000","0.40029","0.06056"
"1.19600","0.40291","0.05774"
"1.22200","0.40548","0.06881"
"1.24800","0.40811","0.07524"
"1.27400","0.41068","0.07741"
"1.30000","0.41336","0.07985"
"1.32600","0.41593","0.07896"
"1.35200","0.41850","0.06771"
"1.37800","0.42112","0.06954"
"1.40400","0.42386","0.06659"
"1.43000","0.42637","0.07163"
"1.45600","0.42900","0.07393"
"1.48200","0.43157","0.06923"
"1.50800","0.43425","0.07456"
"1.53400","0.43677","0.06983"
"1.56000","0.43934","0.07704"
"1.58600","0.44196","0.07569"
"1.61200","0.44464","0.06827"
"1.63800","0.44711","0.07784"
"1.66400","0.44973","0.08227"
"1.69000","0.45230","0.08854"
"1.71600","0.45493","0.08814"
"1.74200","0.45745","0.08365"
"1.76800","0.46007","0.08852"
"1.79400","0.46270","0.07981"
"1.82000","0.46532","0.08431"
"1.84600","0.46784","0.08482"
"1.87200","0.47052","0.09046"
"1.89800","0.47314","0.07683"
"1.92400","0.47577","0.07472"
"1.95000","0.47834","0.08020"
"1.97600","0.48096","0.08450"
"2.00200","0.48359","0.08725"
"2.02800","0.48621","0.08252"
"2.05400","0.48879","0.07720"
"2.08000","0.49130","0.08590"
"2.10600","0.49398","0.08386"
"2.13200","0.49661","0.08223"
"2.15800","0.49912","0.07474"
"2.18400","0.50164","0.08701"
"2.21000","0.50432","0.08203"
"2.23600","0.50695","0.08320"
"2.26200","0.50946","0.09229"
"2.28800","0.51204","0.09311"
"2.31400","0.51477","0.09069"
"2.34000","0.51729","0.10250"
"2.36600","0.51986","0.08817"
"2.39200","0.52248","0.09445"
"2.41800","0.52516","0.10609"
"2.44400","0.52773","0.10492"
"2.47000","0.53036","0.09757"
"2.49600","0.53298","0.10192"
"2.52200","0.53566","0.09657"
"2.54800","0.53818","0.09309"
"2.57400","0.54080","0.09588"
"2.60000","0.54338","0.10233"
"2.62600","0.54600","0.09830"
"2.65200","0.54862","0.09830"
"2.67800","0.55120","0.10184"
"2.70400","0.55371","0.09969"
"2.73000","0.55639","0.10371"
"2.75600","0.55896","0.10511"
"2.78200","0.56154","0.11997"
"2.80800","0.56405","0.11274"
"2.83400","0.56679","0.10722"
"2.86000","0.56930","0.10004"
"2.88600","0.57188","0.10332"
"2.91200","0.57450","0.10966"
"2.93800","0.57723","0.11047"
"2.96400","0.57975","0.10908"
"2.99000","0.58237","0.11019"
"3.01600","0.58500","0.10090"
"3.04200","0.58768","0.10555"
"3.06800","0.59020","0.10946"
"3.09400","0.59282","0.11933"
"3.12000","0.59539","0.11555"
"3.14600","0.59802","0.12045"
"3.17200","0.60059","0.12380"
"3.19800","0.60321","0.11141"
"3.22400","0.60579","0.10634"
"3.25000","0.60841","0.10762"
"3.27600","0.61093","0.10906"
"3.30200","0.61355","0.11204"
"3.32800","0.61613","0.11267"
"3.35400","0.61870","0.11271"
"3.38000","0.62127","0.11783"
"3.40600","0.62389","0.11617"
"3.43200","0.62646","0.11350"
"3.45800","0.62914","0.10860"
"3.48400","0.63171","0.10858"
"3.51000","0.63434","0.11497"
"3.53600","0.63702","0.10462"
"3.56200","0.63959","0.10507"
"3.58800","0.64216","0.11142"
"3.61400","0.64479","0.11207"
"3.64000","0.64746","0.11161"
"3.66600","0.64998","0.11743"
"3.69200","0.65250","0.12431"
"3.71800","0.65513","0.12759"
"3.74400","0.65786","0.12287"
"3.77000","0.66037","0.12296"
"3.79600","0.66295","0.12279"
"3.82200","0.66552","0.12636"
"3.84800","0.66820","0.12814"
"3.87400","0.67066","0.13420"
"3.90000","0.67323","0.12028"
