General : End date,"10/18/2022 1:33 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"60.00000",mm/min
General : Start date,"10/18/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.19827","0.04257"
"0.02600","0.20646","0.04585"
"0.05200","0.23196","0.05683"
"0.07800","0.26362","0.06032"
"0.10400","0.29507","0.07716"
"0.13000","0.32470","0.07659"
"0.15600","0.35298","0.08602"
"0.18200","0.38041","0.10710"
"0.20800","0.40725","0.12838"
"0.23400","0.43371","0.13577"
"0.26000","0.45996","0.14712"
"0.28600","0.48605","0.14476"
"0.31200","0.51214","0.14738"
"0.33800","0.53812","0.14998"
"0.36400","0.56421","0.15602"
"0.39000","0.59025","0.17007"
"0.41600","0.61629","0.17415"
"0.44200","0.64227","0.18060"
"0.46800","0.66830","0.18936"
"0.49400","0.69423","0.20327"
"0.52000","0.72021","0.20342"
"0.54600","0.74614","0.20621"
"0.57200","0.77218","0.21240"
"0.59800","0.79816","0.22405"
"0.62400","0.82430","0.23048"
"0.65000","0.85034","0.23441"
"0.67600","0.87638","0.24080"
"0.70200","0.90225","0.24921"
"0.72800","0.92818","0.25558"
"0.75400","0.95416","0.25833"
"0.78000","0.98014","0.27081"
"0.80600","1.00618","0.27437"
"0.83200","1.03227","0.27219"
"0.85800","1.05830","0.29561"
"0.88400","1.08434","0.29478"
"0.91000","1.11027","0.30079"
"0.93600","1.13625","0.30152"
"0.96200","1.16218","0.30950"
"0.98800","1.18821","0.30775"
"1.01400","1.21420","0.31217"
"1.04000","1.24029","0.31511"
"1.06600","1.26632","0.32887"
"1.09200","1.29230","0.33967"
"1.11800","1.31829","0.33778"
"1.14400","1.34421","0.35374"
"1.17000","1.37020","0.34595"
"1.19600","1.39612","0.35247"
"1.22200","1.42216","0.36103"
"1.24800","1.44825","0.37216"
"1.27400","1.47434","0.38005"
"1.30000","1.50027","0.37515"
"1.32600","1.52630","0.38499"
"1.35200","1.55223","0.39189"
"1.37800","1.57821","0.40417"
"1.40400","1.60409","0.40460"
"1.43000","1.63012","0.40783"
"1.45600","1.65616","0.41128"
"1.48200","1.68230","0.41958"
"1.50800","1.70834","0.41841"
"1.53400","1.73438","0.42066"
"1.56000","1.76030","0.43120"
"1.58600","1.78623","0.44151"
"1.61200","1.81216","0.44024"
"1.63800","1.83820","0.43876"
"1.66400","1.86418","0.44176"
"1.69000","1.89027","0.44782"
"1.71600","1.91630","0.45631"
"1.74200","1.94229","0.46032"
"1.76800","1.96827","0.47611"
"1.79400","1.99425","0.46572"
"1.82000","2.02018","0.46241"
"1.84600","2.04616","0.48367"
"1.87200","2.07225","0.48402"
"1.89800","2.09829","0.48380"
"1.92400","2.12432","0.48858"
"1.95000","2.15030","0.48343"
"1.97600","2.17629","0.49143"
"2.00200","2.20221","0.49150"
"2.02800","2.22820","0.51013"
"2.05400","2.25412","0.52196"
"2.08000","2.28016","0.52953"
"2.10600","2.30625","0.52576"
"2.13200","2.33229","0.51951"
"2.15800","2.35827","0.53067"
"2.18400","2.38430","0.54987"
"2.21000","2.41023","0.54397"
"2.23600","2.43621","0.54141"
"2.26200","2.46220","0.55343"
"2.28800","2.48823","0.54621"
"2.31400","2.51421","0.55233"
"2.34000","2.54030","0.55027"
"2.36600","2.56623","0.56134"
"2.39200","2.59232","0.57304"
"2.41800","2.61825","0.56784"
"2.44400","2.64423","0.56740"
"2.47000","2.67011","0.57906"
"2.49600","2.69620","0.58244"
"2.52200","2.72218","0.59288"
"2.54800","2.74832","0.59129"
"2.57400","2.77430","0.59290"
"2.60000","2.80029","0.59774"
"2.62600","2.82627","0.58832"
"2.65200","2.85220","0.60064"
"2.67800","2.87818","0.60321"
"2.70400","2.90416","0.60527"
"2.73000","2.93020","0.60822"
"2.75600","2.95629","0.60889"
"2.78200","2.98232","0.60905"
"2.80800","3.00830","0.61515"
"2.83400","3.03429","0.61609"
"2.86000","3.06021","0.62013"
"2.88600","3.08620","0.64375"
"2.91200","3.11218","0.65246"
"2.93800","3.13821","0.64027"
"2.96400","3.16425","0.63205"
"2.99000","3.19029","0.64068"
"3.01600","3.21627","0.64363"
"3.04200","3.24225","0.65228"
"3.06800","3.26823","0.65215"
"3.09400","3.29421","0.65926"
"3.12000","3.32020","0.65659"
"3.14600","3.34623","0.66083"
"3.17200","3.37221","0.66318"
"3.19800","3.39830","0.65969"
"3.22400","3.42429","0.66001"
"3.25000","3.45032","0.66041"
"3.27600","3.47620","0.67223"
"3.30200","3.50223","0.68428"
"3.32800","3.52811","0.68421"
"3.35400","3.55414","0.68014"
"3.38000","3.58018","0.68656"
"3.40600","3.60627","0.68797"
"3.43200","3.63230","0.69148"
"3.45800","3.65834","0.69401"
"3.48400","3.68432","0.70169"
"3.51000","3.71025","0.69295"
"3.53600","3.73618","0.69969"
"3.56200","3.76221","0.70569"
"3.58800","3.78820","0.70172"
"3.61400","3.81429","0.69502"
"3.64000","3.84027","0.70598"
"3.66600","3.86630","0.70774"
"3.69200","3.89229","0.70834"
"3.71800","3.91821","0.71805"
"3.74400","3.94420","0.72422"
"3.77000","3.97018","0.71143"
"3.79600","3.99621","0.71699"
"3.82200","4.02225","0.71473"
"3.84800","4.04834","0.72591"
"3.87400","4.07432","0.72623"
"3.90000","4.10030","0.72714"
