General : End date,"10/17/2022 11:17 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"6.00000",mm/min
General : Start date,"10/17/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.19157","0.02613"
"0.02600","0.19200","0.02970"
"0.05200","0.19366","0.02867"
"0.07800","0.19655","0.04249"
"0.10400","0.19998","0.05425"
"0.13000","0.20336","0.05416"
"0.15600","0.20657","0.04760"
"0.18200","0.20946","0.04779"
"0.20800","0.21230","0.05289"
"0.23400","0.21498","0.04800"
"0.26000","0.21761","0.04295"
"0.28600","0.22029","0.04167"
"0.31200","0.22286","0.04682"
"0.33800","0.22554","0.04183"
"0.36400","0.22816","0.05103"
"0.39000","0.23073","0.06421"
"0.41600","0.23336","0.05857"
"0.44200","0.23609","0.04927"
"0.46800","0.23866","0.04913"
"0.49400","0.24129","0.05639"
"0.52000","0.24380","0.05306"
"0.54600","0.24654","0.04913"
"0.57200","0.24905","0.04341"
"0.59800","0.25163","0.05600"
"0.62400","0.25420","0.06373"
"0.65000","0.25693","0.05538"
"0.67600","0.25939","0.05772"
"0.70200","0.26196","0.05452"
"0.72800","0.26454","0.06054"
"0.75400","0.26721","0.06018"
"0.78000","0.26973","0.06127"
"0.80600","0.27230","0.05317"
"0.83200","0.27493","0.05670"
"0.85800","0.27755","0.05904"
"0.88400","0.28007","0.05745"
"0.91000","0.28275","0.06361"
"0.93600","0.28537","0.07633"
"0.96200","0.28805","0.07011"
"0.98800","0.29063","0.06292"
"1.01400","0.29325","0.07021"
"1.04000","0.29582","0.06380"
"1.06600","0.29850","0.06214"
"1.09200","0.30107","0.06855"
"1.11800","0.30359","0.06537"
"1.14400","0.30621","0.06507"
"1.17000","0.30889","0.07021"
"1.19600","0.31141","0.06098"
"1.22200","0.31398","0.07285"
"1.24800","0.31661","0.06985"
"1.27400","0.31923","0.07976"
"1.30000","0.32175","0.07485"
"1.32600","0.32427","0.07568"
"1.35200","0.32695","0.07158"
"1.37800","0.32957","0.08159"
"1.40400","0.33214","0.08992"
"1.43000","0.33477","0.08556"
"1.45600","0.33739","0.08543"
"1.48200","0.33996","0.08548"
"1.50800","0.34259","0.08402"
"1.53400","0.34521","0.07408"
"1.56000","0.34784","0.08451"
"1.58600","0.35041","0.09208"
"1.61200","0.35304","0.07905"
"1.63800","0.35561","0.08987"
"1.66400","0.35823","0.08671"
"1.69000","0.36086","0.09003"
"1.71600","0.36348","0.08676"
"1.74200","0.36600","0.09195"
"1.76800","0.36868","0.09298"
"1.79400","0.37125","0.09655"
"1.82000","0.37377","0.10172"
"1.84600","0.37634","0.09311"
"1.87200","0.37902","0.08952"
"1.89800","0.38159","0.08805"
"1.92400","0.38416","0.08923"
"1.95000","0.38673","0.08896"
"1.97600","0.38946","0.08981"
"2.00200","0.39193","0.09168"
"2.02800","0.39461","0.09557"
"2.05400","0.39723","0.09958"
"2.08000","0.39991","0.09386"
"2.10600","0.40248","0.08935"
"2.13200","0.40511","0.08874"
"2.15800","0.40768","0.09184"
"2.18400","0.41030","0.10018"
"2.21000","0.41282","0.10671"
"2.23600","0.41550","0.10153"
"2.26200","0.41807","0.10286"
"2.28800","0.42070","0.10648"
"2.31400","0.42327","0.10962"
"2.34000","0.42589","0.10322"
"2.36600","0.42841","0.10443"
"2.39200","0.43098","0.10651"
"2.41800","0.43355","0.11033"
"2.44400","0.43618","0.11817"
"2.47000","0.43875","0.11795"
"2.49600","0.44137","0.11143"
"2.52200","0.44395","0.10958"
"2.54800","0.44657","0.10438"
"2.57400","0.44925","0.10790"
"2.60000","0.45187","0.09981"
"2.62600","0.45445","0.10973"
"2.65200","0.45702","0.11820"
"2.67800","0.45970","0.10715"
"2.70400","0.46227","0.10398"
"2.73000","0.46479","0.10210"
"2.75600","0.46741","0.11193"
"2.78200","0.47014","0.12548"
"2.80800","0.47266","0.11859"
"2.83400","0.47518","0.11725"
"2.86000","0.47775","0.11317"
"2.88600","0.48043","0.12263"
"2.91200","0.48295","0.11910"
"2.93800","0.48552","0.11822"
"2.96400","0.48809","0.12644"
"2.99000","0.49077","0.12032"
"3.01600","0.49334","0.12286"
"3.04200","0.49591","0.12685"
"3.06800","0.49854","0.11896"
"3.09400","0.50121","0.12222"
"3.12000","0.50379","0.12059"
"3.14600","0.50641","0.11148"
"3.17200","0.50898","0.10469"
"3.19800","0.51166","0.11924"
"3.22400","0.51429","0.13185"
"3.25000","0.51680","0.13179"
"3.27600","0.51932","0.13517"
"3.30200","0.52205","0.13604"
"3.32800","0.52463","0.14176"
"3.35400","0.52720","0.13928"
"3.38000","0.52977","0.13439"
"3.40600","0.53245","0.12192"
"3.43200","0.53491","0.12553"
"3.45800","0.53748","0.13329"
"3.48400","0.54005","0.13154"
"3.51000","0.54284","0.13799"
"3.53600","0.54536","0.13095"
"3.56200","0.54798","0.13540"
"3.58800","0.55055","0.13868"
"3.61400","0.55323","0.14369"
"3.64000","0.55580","0.14466"
"3.66600","0.55848","0.14240"
"3.69200","0.56105","0.13769"
"3.71800","0.56368","0.14479"
"3.74400","0.56625","0.14727"
"3.77000","0.56888","0.14844"
"3.79600","0.57145","0.14027"
"3.82200","0.57407","0.13871"
"3.84800","0.57670","0.14163"
"3.87400","0.57921","0.14513"
"3.90000","0.58179","0.15388"
