General : End date,"10/18/2022 1:14 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"6.00000",mm/min
General : Start date,"10/18/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.19082","0.03185"
"0.02600","0.19125","0.03487"
"0.05200","0.19264","0.03087"
"0.07800","0.19554","0.02991"
"0.10400","0.19907","0.02975"
"0.13000","0.20250","0.03411"
"0.15600","0.20571","0.04579"
"0.18200","0.20871","0.04052"
"0.20800","0.21155","0.04074"
"0.23400","0.21429","0.03985"
"0.26000","0.21702","0.04739"
"0.28600","0.21959","0.04086"
"0.31200","0.22227","0.04439"
"0.33800","0.22484","0.04155"
"0.36400","0.22746","0.05246"
"0.39000","0.22998","0.05557"
"0.41600","0.23266","0.05709"
"0.44200","0.23523","0.05309"
"0.46800","0.23786","0.05147"
"0.49400","0.24037","0.06138"
"0.52000","0.24300","0.06615"
"0.54600","0.24557","0.05301"
"0.57200","0.24814","0.04213"
"0.59800","0.25071","0.05518"
"0.62400","0.25334","0.06377"
"0.65000","0.25591","0.06659"
"0.67600","0.25859","0.05585"
"0.70200","0.26116","0.05384"
"0.72800","0.26379","0.05905"
"0.75400","0.26641","0.06879"
"0.78000","0.26904","0.06535"
"0.80600","0.27161","0.06397"
"0.83200","0.27423","0.06711"
"0.85800","0.27686","0.05644"
"0.88400","0.27943","0.05744"
"0.91000","0.28195","0.07218"
"0.93600","0.28457","0.06272"
"0.96200","0.28725","0.05220"
"0.98800","0.28982","0.05896"
"1.01400","0.29234","0.05427"
"1.04000","0.29496","0.05964"
"1.06600","0.29759","0.07382"
"1.09200","0.30011","0.07263"
"1.11800","0.30268","0.06921"
"1.14400","0.30536","0.07993"
"1.17000","0.30798","0.08090"
"1.19600","0.31050","0.08045"
"1.22200","0.31312","0.07998"
"1.24800","0.31570","0.08221"
"1.27400","0.31843","0.06832"
"1.30000","0.32100","0.07520"
"1.32600","0.32362","0.08481"
"1.35200","0.32620","0.08702"
"1.37800","0.32888","0.08133"
"1.40400","0.33145","0.09653"
"1.43000","0.33402","0.08975"
"1.45600","0.33659","0.08868"
"1.48200","0.33932","0.09965"
"1.50800","0.34184","0.09663"
"1.53400","0.34441","0.08492"
"1.56000","0.34698","0.07746"
"1.58600","0.34966","0.09930"
"1.61200","0.35218","0.09424"
"1.63800","0.35470","0.10143"
"1.66400","0.35727","0.09803"
"1.69000","0.36000","0.09488"
"1.71600","0.36252","0.10380"
"1.74200","0.36514","0.10889"
"1.76800","0.36777","0.10741"
"1.79400","0.37039","0.10794"
"1.82000","0.37302","0.10005"
"1.84600","0.37564","0.10250"
"1.87200","0.37827","0.11142"
"1.89800","0.38095","0.10236"
"1.92400","0.38346","0.09712"
"1.95000","0.38609","0.09926"
"1.97600","0.38861","0.11278"
"2.00200","0.39129","0.10921"
"2.02800","0.39391","0.10449"
"2.05400","0.39643","0.11302"
"2.08000","0.39900","0.11005"
"2.10600","0.40163","0.10992"
"2.13200","0.40420","0.10987"
"2.15800","0.40677","0.11155"
"2.18400","0.40934","0.11339"
"2.21000","0.41196","0.11611"
"2.23600","0.41454","0.11257"
"2.26200","0.41711","0.12131"
"2.28800","0.41979","0.11690"
"2.31400","0.42241","0.10846"
"2.34000","0.42498","0.10669"
"2.36600","0.42766","0.10587"
"2.39200","0.43034","0.11324"
"2.41800","0.43291","0.11544"
"2.44400","0.43548","0.11058"
"2.47000","0.43805","0.11904"
"2.49600","0.44068","0.12458"
"2.52200","0.44320","0.12546"
"2.54800","0.44582","0.12036"
"2.57400","0.44845","0.12623"
"2.60000","0.45107","0.11303"
"2.62600","0.45359","0.11205"
"2.65200","0.45621","0.11830"
"2.67800","0.45873","0.12893"
"2.70400","0.46136","0.12507"
"2.73000","0.46393","0.12891"
"2.75600","0.46655","0.13095"
"2.78200","0.46907","0.13118"
"2.80800","0.47180","0.13589"
"2.83400","0.47438","0.12713"
"2.86000","0.47700","0.12790"
"2.88600","0.47962","0.13633"
"2.91200","0.48236","0.14330"
"2.93800","0.48487","0.13726"
"2.96400","0.48745","0.13515"
"2.99000","0.49002","0.12566"
"3.01600","0.49270","0.13715"
"3.04200","0.49516","0.13448"
"3.06800","0.49779","0.14222"
"3.09400","0.50041","0.14351"
"3.12000","0.50309","0.14458"
"3.14600","0.50555","0.15274"
"3.17200","0.50818","0.13673"
"3.19800","0.51080","0.14406"
"3.22400","0.51337","0.14590"
"3.25000","0.51589","0.14238"
"3.27600","0.51857","0.14712"
"3.30200","0.52120","0.14316"
"3.32800","0.52382","0.14483"
"3.35400","0.52634","0.13134"
"3.38000","0.52896","0.14306"
"3.40600","0.53154","0.14718"
"3.43200","0.53421","0.13838"
"3.45800","0.53679","0.13482"
"3.48400","0.53941","0.13507"
"3.51000","0.54204","0.14913"
"3.53600","0.54466","0.16187"
"3.56200","0.54723","0.15394"
"3.58800","0.54975","0.14432"
"3.61400","0.55243","0.15196"
"3.64000","0.55505","0.15679"
"3.66600","0.55763","0.15456"
"3.69200","0.56020","0.16460"
"3.71800","0.56282","0.16149"
"3.74400","0.56545","0.15872"
"3.77000","0.56791","0.15540"
"3.79600","0.57048","0.15511"
"3.82200","0.57321","0.15660"
"3.84800","0.57573","0.16035"
"3.87400","0.57830","0.16727"
"3.90000","0.58093","0.16704"
