General : End date,"11/4/2022 10:24 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"11/4/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.29341","0.02988"
"0.02600","0.32952","0.06668"
"0.05200","0.44164","0.13423"
"0.07800","0.60129","0.19641"
"0.10400","0.76425","0.26821"
"0.13000","0.91768","0.36914"
"0.15600","1.06227","0.45604"
"0.18200","1.20102","0.54553"
"0.20800","1.33607","0.62540"
"0.23400","1.46909","0.69277"
"0.26000","1.60087","0.75690"
"0.28600","1.73191","0.81383"
"0.31200","1.86257","0.88792"
"0.33800","1.99296","0.94081"
"0.36400","2.12314","0.99633"
"0.39000","2.25321","1.06589"
"0.41600","2.38323","1.13127"
"0.44200","2.51336","1.19110"
"0.46800","2.64337","1.24953"
"0.49400","2.77339","1.30832"
"0.52000","2.90341","1.36752"
"0.54600","3.03337","1.41823"
"0.57200","3.16339","1.48553"
"0.59800","3.29336","1.54705"
"0.62400","3.42338","1.59794"
"0.65000","3.55345","1.64321"
"0.67600","3.68341","1.69815"
"0.70200","3.81343","1.74731"
"0.72800","3.94345","1.79718"
"0.75400","4.07341","1.85370"
"0.78000","4.20343","1.89741"
"0.80600","4.33339","1.94798"
"0.83200","4.46346","2.00577"
"0.85800","4.59343","2.04737"
"0.88400","4.72339","2.09698"
"0.91000","4.85341","2.13788"
"0.93600","4.98338","2.18358"
"0.96200","5.11345","2.24075"
"0.98800","5.24341","2.29060"
"1.01400","5.37337","2.33414"
"1.04000","5.50345","2.38237"
"1.06600","5.63341","2.43714"
"1.09200","5.76343","2.49809"
"1.11800","5.89339","2.55664"
"1.14400","6.02336","2.60437"
"1.17000","6.15343","2.65857"
"1.19600","6.28334","2.71189"
"1.22200","6.41341","2.76471"
"1.24800","6.54343","2.82154"
"1.27400","6.67339","2.87481"
"1.30000","6.80341","2.93925"
"1.32600","6.93337","3.00105"
"1.35200","7.06339","3.06431"
"1.37800","7.19341","3.12242"
"1.40400","7.32343","3.16693"
"1.43000","7.45345","3.23932"
"1.45600","7.58341","3.30888"
"1.48200","7.71337","3.37168"
"1.50800","7.84334","3.44876"
"1.53400","7.97336","3.52123"
"1.56000","8.10343","3.59359"
"1.58600","8.23345","3.65881"
"1.61200","8.36347","3.73283"
"1.63800","8.49343","3.81221"
"1.66400","8.62339","3.88870"
"1.69000","8.75341","3.97701"
"1.71600","8.88338","4.06570"
"1.74200","9.01345","4.15031"
"1.76800","9.14346","4.23019"
"1.79400","9.27343","4.31812"
"1.82000","9.40339","4.41442"
"1.84600","9.53336","4.52130"
"1.87200","9.66337","4.61870"
"1.89800","9.79345","4.73240"
"1.92400","9.92346","4.84409"
"1.94000","10.00350","4.90736"
