General : End date,"11/8/2022 12:25 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"6.00000",mm/min
General : Start date,"11/8/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","0.06975"
"0.02600","0.00043","0.06261"
"0.05200","0.00198","0.06713"
"0.07800","0.00498","0.07568"
"0.10400","0.00836","0.07694"
"0.13000","0.01168","0.06234"
"0.15600","0.01489","0.07283"
"0.18200","0.01784","0.06917"
"0.20800","0.02068","0.07528"
"0.23400","0.02341","0.07950"
"0.26000","0.02614","0.07814"
"0.28600","0.02871","0.08213"
"0.31200","0.03129","0.09013"
"0.33800","0.03391","0.08899"
"0.36400","0.03659","0.09331"
"0.39000","0.03916","0.08401"
"0.41600","0.04173","0.08317"
"0.44200","0.04436","0.08781"
"0.46800","0.04698","0.09648"
"0.49400","0.04950","0.08008"
"0.52000","0.05207","0.08273"
"0.54600","0.05475","0.09421"
"0.57200","0.05737","0.09637"
"0.59800","0.05989","0.10212"
"0.62400","0.06252","0.10059"
"0.65000","0.06514","0.10386"
"0.67600","0.06777","0.09748"
"0.70200","0.07045","0.09553"
"0.72800","0.07302","0.10956"
"0.75400","0.07564","0.11160"
"0.78000","0.07827","0.10323"
"0.80600","0.08089","0.10125"
"0.83200","0.08341","0.10111"
"0.85800","0.08604","0.10472"
"0.88400","0.08866","0.10392"
"0.91000","0.09129","0.11270"
"0.93600","0.09380","0.11746"
"0.96200","0.09648","0.11850"
"0.98800","0.09905","0.11209"
"1.01400","0.10157","0.12779"
"1.04000","0.10409","0.12628"
"1.06600","0.10677","0.11166"
"1.09200","0.10939","0.11762"
"1.11800","0.11196","0.12139"
"1.14400","0.11448","0.12231"
"1.17000","0.11721","0.12831"
"1.19600","0.11973","0.13082"
"1.22200","0.12241","0.12024"
"1.24800","0.12498","0.11936"
"1.27400","0.12771","0.12207"
"1.30000","0.13029","0.13322"
"1.32600","0.13291","0.14026"
"1.35200","0.13548","0.14102"
"1.37800","0.13811","0.13116"
"1.40400","0.14063","0.12476"
"1.43000","0.14325","0.12625"
"1.45600","0.14582","0.13404"
"1.48200","0.14845","0.12775"
"1.50800","0.15102","0.12739"
"1.53400","0.15364","0.12621"
"1.56000","0.15616","0.13954"
"1.58600","0.15879","0.14280"
"1.61200","0.16130","0.14326"
"1.63800","0.16393","0.14741"
"1.66400","0.16650","0.14278"
"1.69000","0.16918","0.14375"
"1.71600","0.17175","0.15187"
"1.74200","0.17437","0.15186"
"1.76800","0.17700","0.14058"
"1.79400","0.17968","0.13781"
"1.82000","0.18225","0.14845"
"1.84600","0.18487","0.14586"
"1.87200","0.18750","0.15049"
"1.89800","0.19007","0.15215"
"1.92400","0.19259","0.14580"
"1.95000","0.19516","0.15278"
"1.97600","0.19784","0.16460"
"2.00200","0.20041","0.16263"
"2.02800","0.20298","0.16020"
"2.05400","0.20555","0.16270"
"2.08000","0.20818","0.16626"
"2.10600","0.21075","0.16849"
"2.13200","0.21327","0.16334"
"2.15800","0.21589","0.16391"
"2.18400","0.21857","0.17314"
"2.21000","0.22109","0.17159"
"2.23600","0.22371","0.17119"
"2.26200","0.22634","0.16690"
"2.28800","0.22902","0.17437"
"2.31400","0.23159","0.17868"
"2.34000","0.23421","0.16805"
"2.36600","0.23679","0.16313"
"2.39200","0.23946","0.17494"
"2.41800","0.24204","0.17109"
"2.44400","0.24461","0.16701"
"2.47000","0.24713","0.16489"
"2.49600","0.24986","0.17455"
"2.52200","0.25243","0.18180"
"2.54800","0.25500","0.18864"
"2.57400","0.25752","0.18537"
"2.60000","0.26025","0.18252"
"2.62600","0.26277","0.18928"
"2.65200","0.26529","0.17890"
"2.67800","0.26786","0.18324"
"2.70400","0.27064","0.18465"
"2.73000","0.27316","0.18477"
"2.75600","0.27579","0.18759"
"2.78200","0.27836","0.18456"
"2.80800","0.28098","0.17563"
"2.83400","0.28361","0.18802"
"2.86000","0.28623","0.18989"
"2.88600","0.28880","0.18348"
"2.91200","0.29148","0.18678"
"2.93800","0.29405","0.19091"
"2.96400","0.29668","0.19094"
"2.99000","0.29920","0.20052"
"3.01600","0.30187","0.20397"
"3.04200","0.30445","0.19980"
"3.06800","0.30702","0.20169"
"3.09400","0.30964","0.20070"
"3.12000","0.31227","0.20337"
"3.14600","0.31484","0.20507"
"3.17200","0.31736","0.20536"
"3.19800","0.31993","0.19727"
"3.22400","0.32261","0.20391"
"3.25000","0.32518","0.21418"
"3.27600","0.32775","0.21087"
"3.30200","0.33038","0.20799"
"3.32800","0.33295","0.21054"
"3.35400","0.33557","0.21181"
"3.38000","0.33825","0.20753"
"3.40600","0.34087","0.20608"
"3.43200","0.34345","0.20445"
"3.45800","0.34607","0.22194"
"3.48400","0.34870","0.21383"
"3.51000","0.35127","0.21658"
"3.53600","0.35384","0.20734"
"3.56200","0.35646","0.19986"
"3.58800","0.35904","0.21319"
"3.61400","0.36166","0.21616"
"3.64000","0.36423","0.21992"
"3.66600","0.36686","0.21589"
"3.69200","0.36937","0.22409"
"3.71800","0.37200","0.23249"
"3.74400","0.37457","0.22424"
"3.77000","0.37714","0.22793"
"3.79600","0.37971","0.22414"
"3.82200","0.38239","0.22599"
"3.84800","0.38496","0.23119"
"3.87400","0.38754","0.22952"
"3.90000","0.39016","0.22823"
