General : End date,"11/8/2022 12:48 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"11/8/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.24498","0.03481"
"0.02600","0.28093","0.06541"
"0.05200","0.39279","0.14043"
"0.07800","0.55270","0.22493"
"0.10400","0.71593","0.33011"
"0.13000","0.86941","0.44486"
"0.15600","1.01395","0.54365"
"0.18200","1.15259","0.62968"
"0.20800","1.28780","0.71299"
"0.23400","1.42077","0.78819"
"0.26000","1.55250","0.86142"
"0.28600","1.68354","0.93939"
"0.31200","1.81414","1.02001"
"0.33800","1.94454","1.08719"
"0.36400","2.07471","1.15678"
"0.39000","2.20489","1.21071"
"0.41600","2.33491","1.27884"
"0.44200","2.46493","1.33723"
"0.46800","2.59500","1.39980"
"0.49400","2.72496","1.47394"
"0.52000","2.85498","1.53019"
"0.54600","2.98500","1.58296"
"0.57200","3.11502","1.63566"
"0.59800","3.24504","1.69457"
"0.62400","3.37500","1.75088"
"0.65000","3.50496","1.80617"
"0.67600","3.63498","1.84029"
"0.70200","3.76500","1.87999"
"0.72800","3.89502","1.92893"
"0.75400","4.02504","1.99482"
"0.78000","4.15500","2.05020"
"0.80600","4.28502","2.09271"
"0.83200","4.41498","2.13605"
"0.85800","4.54500","2.17633"
"0.88400","4.67496","2.21462"
"0.91000","4.80493","2.25946"
"0.93600","4.93505","2.30810"
"0.96200","5.06502","2.33767"
"0.98800","5.19498","2.36152"
"1.01400","5.32500","2.39221"
"1.04000","5.45497","2.44453"
"1.06600","5.58504","2.47554"
"1.09200","5.71500","2.49943"
"1.11800","5.84496","2.53730"
"1.14400","5.97504","2.56498"
"1.17000","6.10500","2.59742"
"1.19600","6.23496","2.61972"
"1.22200","6.36493","2.64730"
"1.24800","6.49500","2.68517"
"1.27400","6.62502","2.71114"
"1.30000","6.75498","2.73210"
"1.32600","6.88505","2.75796"
"1.35200","7.01502","2.78107"
"1.37800","7.14498","2.80806"
"1.40400","7.27505","2.82968"
"1.43000","7.40496","2.84371"
"1.45600","7.53504","2.85816"
"1.48200","7.66505","2.87483"
"1.50800","7.79502","2.89868"
"1.53400","7.92498","2.90699"
"1.56000","8.05495","2.93626"
"1.58600","8.18502","2.94051"
"1.61200","8.31504","2.95322"
"1.63800","8.44505","2.97030"
"1.66400","8.57512","2.99770"
"1.69000","8.70504","3.01873"
"1.71600","8.83500","3.02992"
"1.74200","8.96496","3.05189"
"1.76800","9.09498","3.08006"
"1.79400","9.22500","3.09097"
"1.82000","9.35502","3.07968"
"1.84600","9.48504","3.07734"
"1.87200","9.61500","3.08387"
"1.89800","9.74496","3.10681"
"1.92400","9.87498","3.15233"
"1.95000","10.00495","3.18664"
